article_id,campaign_name,id_promocion
HP9965,PREDATOR ELITE SG,1
HP9966,PREDATOR ELITE LL SG,1
HP9967,PREDATOR ELITE LL FG,1
HP9968,PREDATOR ELITE FT SG,1
HP9975,PREDATOR CLUB TF,1
HQ2273,PREDATOR CLUB FT FG/MG,1
HY5061,FIGC EQT TEE,1
HP9977,PREDATOR CLUB FG/MG J,1
HP9998,PREDATOR LEAGUE FT FG J,1
HQ0007,PREDATOR LEAGUE FT TF J,1
HQ5161,F50 LEAGUE FG J,1
KI0662,COPA PURE IV LEAGUE FG J,1
KK1307,F50 CLUB FG/MG J,1
IH4582,F50 LEAGUE TF,1
IH4604,F50 CLUB TF,1
IH7212,PREDATOR LEAGUE FT TF,1
IH9346,F50 LEAGUE FG,1
IH9375,F50 CLUB FG/MG,1
JP6237,PREDATOR ELITE FT FG,1
JP6271,PREDATOR LEAGUE FT FG,1
JY8928,WC FINALS PRO,1
KK1319,F50 LEAGUE TF J,1
KK1366,F50 CLUB TF J,1
KK3724,PREDATOR CLUB TF J,1
HQ2272,PREDATOR CLUB FT EL FG/MG J,1
HQ2274,PREDATOR CLUB FT EL TF J,1
KE4322,WC FINAL LGE,1
KE4328,WC FINAL MINI,1
KE5199,F50 SG CLB,1
KE5207,F50 SG MTC J,1
KE5213,F50 SG LGE,1
KG2279,DFB EQT TEE,1
KG2281,DFB EQT TT,1
KG2282,DFB EQT TP,1
KG2285,AFA EQT TP,1
KG2287,AFA EQT TT,1
KG2288,AFA EQT TEE,1
KG2574,FEF EQT TEE,1
KG2575,FEF EQT TT,1
KG2576,FEF EQT TP,1
KG2595,FIGC EQT TT,1
KG2596,FIGC EQT TP,1
KG2598,FCF EQT TP,1
KG2599,FCF EQT TEE,1
KG2600,FCF EQT SHORTS,1
KG2601,FCF EQT TT,1
KI0586,COPA PURE IV ELITE FG,1
KI0596,COPA PURE IV ELITE SG,1
KI0645,COPA PURE IV LEAGUE TF,1
KI0653,COPA PURE IV LEAGUE FG,1
KI0686,COPA PURE IV CLUB TF,1
KI3106,COPA PURE IV CLUB FG/MG,1
KI8229,F50+ SG,1
KJ6080,F50 ELITE LL FG,1
KJ6085,F50 ELITE SG,1
KJ6088,F50 ELITE LL SG,1
KJ6117,F50+ FG,1
KQ9163,WC PRO FINALCON,1
KV6524,PRED GL PRO,1
JI0005,F50 LEAGUE FG,1
JH7726,F50 LEAGUE TF,1
JR5386,F50 HYPERFAST ELITE FG,1
HP9973,PREDATOR ELITE FG,1
JL6971,FCF H JSY AU IMPYEL,1
JL6972,FCF H JSY IMPYEL,1
JL6973,FCF A JSY AU,1
JL6974,FCF A JSY,1
JL6984,FCF A SHO,1
JL8580,FMF H JSY D,1
JL8662,FCF H SHO GLOBLU,1
JM1092,FMF TT 86,1
JM8395,AFA A JSY D,1
JM8396,AFA H JSY D,1
JN1872,JFA A JSY,1
JN2074,DFB A JSY,1
JN3708,AFA H JSY 06 M,1
JN3709,AFA A JSY 06 M,1
JN3713,FCF A JSY 90,1
JN4390,RFEF H JSY,1
JN4397,RFEF A JSY,1
JY5076,FVF A JSY,1
JY5210,OG TT,1
JY5211,OG TP,1
JY9599,FIGC A OG JK,1
JY9624,FIGC OG TEE,1
JZ2214,AFA A TT 06,1
JZ2249,FEF A OG JK,1
JZ2254,FEF OG TT,1
JZ2256,FEF OG TEE,1
JZ6218,FCF AW JKT,1
JZ6221,FCF HOODIE TENABL,1
JZ6223,FCF PRE JKT,1
JZ6224,FCF POLO TENABL,1
JZ6226,FCF TR JSY WHITE,1
JZ6228,FCF TR SHO TENABL,1
JZ6229,FCF TEE TENABL,1
JZ6232,FCF TR SL JSY WHITE,1
JZ6234,FCF TR PNT TENABL,1
JZ6235,FCF TR TOP WHITE,1
JZ6239,FCF PRESHI A,1
JZ6287,AFA A OG JK,1
JZ6305,AFA OG TT,1
JZ6307,AFA OG TEE,1
JZ8789,FCF H JSY AUL IMPYEL,1
JZ8921,COL OLP TEE,1
JZ9056,FCF A OG JKT,1
JZ9059,FCF DNA TT,1
JZ9060,FCF DNA HD,1
JZ9079,FCF DNA POLO,1
JZ9088,FCF OG TT,1
JZ9091,FCF OG SHO,1
JZ9092,FCF A TEE,1
JZ9336,DFB A OG JK,1
JZ9340,DFB OG TT,1
JZ9342,DFB OG TEE,1
KA1532,FCF OG TEE,1
KA5122,TIRO26C PNT,1
KA8117,AFA H 10 D WHITE/ICEBLU/LTBLUE,1
KB3723,FVF H JSY,1
KB6216,MASCOT TEE STR,1
KB6217,MASCOT TEE CIAO,1
KC3833,MASCOT TEE FOT,1
KD1149,JFF A JSY M10,1
KD8363,DFB H JSY WHITE,1
KE2037,MASCOT TEE PIQ,1
KE2038,MASCOT TEE ALL,1
KF0323,AFA OG TEE AOP,1
KH3823,FCF TT TEE BROYAL,1
KH3824,FCF TT FZ WB BROYAL,1
KH3827,FCF TT PNT BROYAL,1
KH3828,FCF DNA TEE,1
KH3829,FCF DNA PNT,1
KT0344,FCF OG TP,1
JY5075,FVF H JSY Y TECOBU,1
JY5083,FVF A JSY Y,1
JZ4560,DFB H JSY Y WHITE,1
JZ4569,DFB A JSY Y,1
JZ6231,FCF TR JSYY WHITE,1
JZ6237,FCF PRE JKT Y TENABL,1
JZ8793,FCF A JSY Y,1
JZ8797,FCF H JSY Y IMPYEL,1
JZ8800,FCF H SHO Y GLOBLU,1
JZ8879,COL OLP TEE Y,1
KA8113,AFA H SHO Y D,1
KA8115,AFA H 10 Y D,1
KC1336,MASCOT SWT Y,1
KH3942,AFA A JSY 10 YD,1
JZ6241,FCF PRESHI A Y,1
JZ8790,FCF H MINI IMPYEL/GLOBLU,1
JZ8803,FCF A MINI,1
JY5077,FVF H JSY W TECOBU,1
JZ8788,FCF H JSY W IMPYEL,1
JZ8843,FCF A JSY W,1
KA8125,AFA H JSY W D,1
KE8087,FCF H JSY CRO W IMPYEL,1
KE8088,FCF A JSY CRO W,1
KE2294,COLOMBIA BB JSY,1
KE2299,COLOMBIA BB JSY,1
HQ9438,HANDBALL SPEZIAL,1
IH9648,GAZELLE INDOOR,1
JR7875,PREDATOR LEAGUE FT TF,1
JS0379,PREDATOR ELITE FT FG,1
JS0426,PREDATOR LEAGUE FT FG,1
HQ9469,BARREDA DECODE J FOOTBALL,1
JD8021,WC PRO,1
JD8028,WC CLB,1
JD8030,WC LGE,1
JD8032,WC TRN,1
JD8034,WC MINI,1
JD8045,WC LGE BOX,1
JL6990,FCF H SO SELURE,1
JL6993,FCF A SO,1
KD8511,FCF WAISTBAG,1
KD8512,FCF DAD CAP,1
KD8513,FCF BUCKET,1
KD8515,FCF BB CAP,1
KD8516,FCF BB CAP,1
KD8519,FCF DAD CAP,1
